myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
FrontierWeekday179,179,Frontier,1 of 2,122,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=122,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=122.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday180,180,Frontier,1 of 3,124,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=124,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=124.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday181,181,Frontier,1 of 4,127,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=127,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=127.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday182,182,Frontier,1 of 3,131,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=131,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=131.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday183,183,Frontier,1 of 3,134,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=134,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=134.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday184,184,Frontier,1 of 3,137,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=137,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=137.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday201,201,Frontier,1 of 2,140,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=140,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=140.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday202,202,Frontier,1 of 2,142,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=142,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=142.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday203,203,Frontier,1 of 2,144,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=144,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=144.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday204,204,Frontier,1 of 3,146,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=146,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=146.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday205,205,Frontier,1 of 3,149,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=149,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=149.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday206,206,Frontier,1 of 3,152,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=152,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=152.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday207,207,Frontier,1 of 3,155,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=155,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=155.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday208,208,Frontier,1 of 2,158,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=158,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=158.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday209,209,Frontier,1 of 2,160,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=160,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=160.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday210,210,Frontier,1 of 2,162,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=162,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=162.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday211,211,Frontier,1 of 2,164,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=164,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=164.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday212,212,Frontier,1 of 2,166,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=166,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=166.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday213,213,Frontier,1 of 2,168,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=168,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=168.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday226,226,Frontier,1 of 2,170,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=170,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=170.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday227,227,Frontier,1 of 2,172,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=172,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=172.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday228,228,Frontier,1 of 2,174,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=174,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=174.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday251,251,Frontier,1 of 3,176,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=176,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=176.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday252,252,Frontier,1 of 4,179,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=179,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=179.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday253,253,Frontier,1 of 2,183,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=183,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=183.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday254,254,Frontier,1 of 3,185,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=185,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=185.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday276,276,Frontier,1 of 4,188,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=188,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=188.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday277,277,Frontier,1 of 5,192,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=192,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=192.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday278,278,Frontier,1 of 4,197,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=197,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=197.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
FrontierWeekday279,279,Frontier,1 of 4,201,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles.pdf#page=201,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/paddles/weekday-paddles#page=201.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/frontier/trip-sheets/weekday-trip-sheets.pdf
