myid,runno,depot,page_1,page,day,Paddle,Paddle PC,Trip Sheet
SouthernWeekday109,109,Southern,1 of 2,47,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page47.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=47.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday201,201,Southern,1 of 2,49,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page49.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=49.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday202,202,Southern,1 of 2,51,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page51.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=51.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday203,203,Southern,1 of 2,53,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page53.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=53.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday204,204,Southern,1 of 3,55,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page55.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=55.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday205,205,Southern,1 of 2,58,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page58.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=58.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday206,206,Southern,1 of 2,60,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page60.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=60.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday207,207,Southern,1 of 2,62,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page62.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=62.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday208,208,Southern,1 of 2,64,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page64.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=64.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
SouthernWeekday209,209,Southern,1 of 2,66,Weekday,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page66.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/paddles/weekday-paddles#page=66.pdf,https://www4.septa.org/picking/pdf/spring-a-2026/southern/trip-sheets/weekday-trip-sheets.pdf
